report_year,business_date,commerce_id,source_pos,gross_sales,discounts,voids,net_sales,transactions,generated_at
2025,2025-02-05,Commerce_01,POS_A,5380.00,271.36,43.54,5108.64,150,2026-01-09T08:45:00Z
2025,2025-02-06,Commerce_01,POS_A,5561.00,277.97,52.14,5283.03,155,2026-01-09T08:45:00Z
2025,2025-02-07,Commerce_01,POS_A,6993.00,361.50,54.05,6631.50,195,2026-01-09T08:45:00Z
2025,2025-02-08,Commerce_01,POS_A,7076.00,350.46,25.85,6725.54,198,2026-01-09T08:45:00Z
2025,2025-02-09,Commerce_01,POS_A,4131.00,207.40,86.11,3923.60,115,2026-01-09T08:45:00Z
2025,2025-02-10,Commerce_01,POS_A,4473.00,228.42,19.77,4244.58,125,2026-01-09T08:45:00Z
2025,2025-02-11,Commerce_01,POS_A,4552.00,224.71,84.88,4327.29,127,2026-01-09T08:45:00Z
2025,2025-02-12,Commerce_01,POS_A,5401.00,280.79,71.14,5120.21,151,2026-01-09T08:45:00Z
2025,2025-02-13,Commerce_01,POS_A,5995.00,304.91,54.37,5690.09,167,2026-01-09T08:45:00Z
2025,2025-02-14,Commerce_01,POS_A,7006.00,361.15,86.57,6644.85,195,2026-01-09T08:45:00Z
2025,2025-02-15,Commerce_01,POS_A,7021.00,335.00,42.30,6686.00,197,2026-01-09T08:45:00Z
2025,2025-02-16,Commerce_01,POS_A,4049.00,177.73,74.99,3871.27,114,2026-01-09T08:45:00Z
2025,2025-02-17,Commerce_01,POS_A,4514.00,211.92,100.43,4302.08,127,2026-01-09T08:45:00Z
2025,2025-02-18,Commerce_01,POS_A,4526.00,221.69,48.93,4304.31,127,2026-01-09T08:45:00Z
2025,2025-02-19,Commerce_01,POS_A,5182.00,249.19,85.07,4932.81,145,2026-01-09T08:45:00Z
2025,2025-02-20,Commerce_01,POS_A,5941.00,273.33,56.32,5667.67,167,2026-01-09T08:45:00Z
2025,2025-02-21,Commerce_01,POS_A,6430.00,302.52,58.40,6127.48,180,2026-01-09T08:45:00Z
2025,2025-02-22,Commerce_01,POS_A,7247.00,363.44,64.58,6883.56,202,2026-01-09T08:45:00Z
2025,2025-02-23,Commerce_01,POS_A,3755.00,199.42,52.52,3555.58,105,2026-01-09T08:45:00Z
2025,2025-02-24,Commerce_01,POS_A,4312.00,200.83,71.43,4111.17,121,2026-01-09T08:45:00Z
2025,2025-02-25,Commerce_01,POS_A,4535.00,212.51,78.11,4322.49,127,2026-01-09T08:45:00Z
2025,2025-02-26,Commerce_01,POS_A,5167.00,283.84,118.26,4883.16,144,2026-01-09T08:45:00Z
2025,2025-02-27,Commerce_01,POS_A,5412.00,245.77,27.63,5166.23,152,2026-01-09T08:45:00Z
2025,2025-02-28,Commerce_01,POS_A,6481.00,323.85,76.51,6157.15,181,2026-01-09T08:45:00Z
2025,2025-03-01,Commerce_01,POS_A,7209.00,361.12,62.53,6847.88,201,2026-01-09T08:45:00Z
2025,2025-03-02,Commerce_01,POS_A,3975.00,179.76,76.43,3795.24,112,2026-01-09T08:45:00Z
2025,2025-03-03,Commerce_01,POS_A,4743.00,220.01,48.27,4522.99,133,2026-01-09T08:45:00Z
2025,2025-03-04,Commerce_01,POS_A,4801.00,256.58,64.90,4544.42,134,2026-01-09T08:45:00Z
2025,2025-03-05,Commerce_01,POS_A,5409.00,276.63,105.68,5132.37,151,2026-01-09T08:45:00Z
2025,2025-03-06,Commerce_01,POS_A,6135.00,312.48,22.01,5822.52,171,2026-01-09T08:45:00Z
2025,2025-03-07,Commerce_01,POS_A,7086.00,380.19,46.19,6705.81,197,2026-01-09T08:45:00Z
2025,2025-03-08,Commerce_01,POS_A,7096.00,343.70,78.63,6752.30,199,2026-01-09T08:45:00Z
2025,2025-03-09,Commerce_01,POS_A,4161.00,213.62,72.25,3947.38,116,2026-01-09T08:45:00Z
2025,2025-03-10,Commerce_01,POS_A,4807.00,220.99,66.34,4586.01,135,2026-01-09T08:45:00Z
2025,2025-03-11,Commerce_01,POS_A,4809.00,232.68,54.56,4576.32,135,2026-01-09T08:45:00Z
2025,2025-03-12,Commerce_01,POS_A,5425.00,279.94,40.94,5145.06,151,2026-01-09T08:45:00Z
2025,2025-03-13,Commerce_01,POS_A,5565.00,286.33,60.47,5278.67,155,2026-01-09T08:45:00Z
2025,2025-03-14,Commerce_01,POS_A,7280.00,349.77,44.82,6930.23,204,2026-01-09T08:45:00Z
2025,2025-03-15,Commerce_01,POS_A,7411.00,343.15,30.17,7067.85,208,2026-01-09T08:45:00Z
2025,2025-03-16,Commerce_01,POS_A,3892.00,177.63,50.09,3714.37,109,2026-01-09T08:45:00Z
2025,2025-03-17,Commerce_01,POS_A,4360.00,206.99,44.18,4153.01,122,2026-01-09T08:45:00Z
2025,2025-03-18,Commerce_01,POS_A,4781.00,235.17,49.23,4545.83,134,2026-01-09T08:45:00Z
2025,2025-03-19,Commerce_01,POS_A,5146.00,275.40,66.54,4870.60,143,2026-01-09T08:45:00Z
2025,2025-03-20,Commerce_01,POS_A,5912.00,300.17,87.70,5611.83,165,2026-01-09T08:45:00Z
2025,2025-03-21,Commerce_01,POS_A,7160.00,364.14,47.85,6795.86,200,2026-01-09T08:45:00Z
2025,2025-03-22,Commerce_01,POS_A,7272.00,356.23,28.50,6915.77,203,2026-01-09T08:45:00Z
2025,2025-03-23,Commerce_01,POS_A,3849.00,196.65,62.90,3652.35,107,2026-01-09T08:45:00Z
2025,2025-03-24,Commerce_01,POS_A,4405.00,229.63,92.93,4175.37,123,2026-01-09T08:45:00Z
2025,2025-03-25,Commerce_01,POS_A,5020.00,237.22,44.08,4782.78,141,2026-01-09T08:45:00Z
2025,2025-03-26,Commerce_01,POS_A,4981.00,238.04,82.69,4742.96,139,2026-01-09T08:45:00Z
2025,2025-03-27,Commerce_01,POS_A,5899.00,277.84,84.52,5621.16,165,2026-01-09T08:45:00Z
2025,2025-03-28,Commerce_01,POS_A,7445.00,377.18,27.59,7067.82,208,2026-01-09T08:45:00Z
2025,2025-03-29,Commerce_01,POS_A,7479.00,373.17,64.58,7105.83,209,2026-01-09T08:45:00Z
2025,2025-03-30,Commerce_01,POS_A,3910.00,187.88,68.70,3722.12,109,2026-01-09T08:45:00Z
2025,2025-03-31,Commerce_01,POS_A,4651.00,257.16,73.85,4393.84,129,2026-01-09T08:45:00Z
2025,2025-04-01,Commerce_01,POS_A,4755.00,242.83,31.40,4512.17,133,2026-01-09T08:45:00Z
2025,2025-04-02,Commerce_01,POS_A,5384.00,269.93,63.92,5114.07,150,2026-01-09T08:45:00Z
2025,2025-04-03,Commerce_01,POS_A,5861.00,302.20,29.65,5558.80,163,2026-01-09T08:45:00Z
2025,2025-04-04,Commerce_01,POS_A,6847.00,371.60,40.10,6475.40,190,2026-01-09T08:45:00Z
2025,2025-04-05,Commerce_01,POS_A,7134.00,374.69,96.56,6759.31,199,2026-01-09T08:45:00Z
2025,2025-04-06,Commerce_01,POS_A,4345.00,217.35,45.50,4127.65,121,2026-01-09T08:45:00Z
2025,2025-04-07,Commerce_01,POS_A,4693.00,238.50,56.39,4454.50,131,2026-01-09T08:45:00Z
2025,2025-04-08,Commerce_01,POS_A,4837.00,273.58,85.45,4563.42,134,2026-01-09T08:45:00Z
2025,2025-04-09,Commerce_01,POS_A,5381.00,261.28,36.49,5119.72,151,2026-01-09T08:45:00Z
2025,2025-04-10,Commerce_01,POS_A,5810.00,299.12,29.49,5510.88,162,2026-01-09T08:45:00Z
2025,2025-04-11,Commerce_01,POS_A,7028.00,350.78,36.63,6677.22,196,2026-01-09T08:45:00Z
2025,2025-04-12,Commerce_01,POS_A,7714.00,398.48,75.25,7315.52,215,2026-01-09T08:45:00Z
2025,2025-04-13,Commerce_01,POS_A,4240.00,221.56,34.55,4018.44,118,2026-01-09T08:45:00Z
2025,2025-04-14,Commerce_01,POS_A,4662.00,241.05,83.57,4420.95,130,2026-01-09T08:45:00Z
2025,2025-04-15,Commerce_01,POS_A,4892.00,237.14,18.54,4654.86,137,2026-01-09T08:45:00Z
2025,2025-04-16,Commerce_01,POS_A,5359.00,265.48,80.25,5093.52,150,2026-01-09T08:45:00Z
2025,2025-04-17,Commerce_01,POS_A,5921.00,287.71,62.04,5633.29,166,2026-01-09T08:45:00Z
2025,2025-04-18,Commerce_01,POS_A,6977.00,333.94,60.05,6643.06,195,2026-01-09T08:45:00Z
2025,2025-04-19,Commerce_01,POS_A,7519.00,373.04,43.93,7145.96,210,2026-01-09T08:45:00Z
2025,2025-04-20,Commerce_01,POS_A,4074.00,198.01,96.04,3875.99,114,2026-01-09T08:45:00Z
2025,2025-04-21,Commerce_01,POS_A,4733.00,237.10,46.73,4495.90,132,2026-01-09T08:45:00Z
2025,2025-04-22,Commerce_01,POS_A,4999.00,242.74,60.39,4756.26,140,2026-01-09T08:45:00Z
2025,2025-04-23,Commerce_01,POS_A,5487.00,285.68,50.38,5201.32,153,2026-01-09T08:45:00Z
2025,2025-04-24,Commerce_01,POS_A,5915.00,302.01,50.52,5612.99,165,2026-01-09T08:45:00Z
2025,2025-04-25,Commerce_01,POS_A,7245.00,359.47,57.36,6885.53,203,2026-01-09T08:45:00Z
2025,2025-04-26,Commerce_01,POS_A,7533.00,364.23,45.95,7168.77,211,2026-01-09T08:45:00Z
2025,2025-04-27,Commerce_01,POS_A,4196.00,196.23,103.35,3999.77,118,2026-01-09T08:45:00Z
2025,2025-04-28,Commerce_01,POS_A,4663.00,224.12,41.62,4438.88,131,2026-01-09T08:45:00Z
2025,2025-04-29,Commerce_01,POS_A,4892.00,245.52,48.14,4646.48,137,2026-01-09T08:45:00Z
2025,2025-04-30,Commerce_01,POS_A,5495.00,276.07,85.49,5218.93,153,2026-01-09T08:45:00Z
2025,2025-05-01,Commerce_01,POS_A,6073.00,306.90,96.36,5766.10,170,2026-01-09T08:45:00Z
2025,2025-05-02,Commerce_01,POS_A,7245.00,378.54,52.82,6866.46,202,2026-01-09T08:45:00Z
2025,2025-05-03,Commerce_01,POS_A,7524.00,378.21,59.25,7145.79,210,2026-01-09T08:45:00Z
2025,2025-05-04,Commerce_01,POS_A,4073.00,203.51,92.06,3869.49,114,2026-01-09T08:45:00Z
2025,2025-05-05,Commerce_01,POS_A,6505.00,316.34,18.07,6188.66,182,2026-01-09T08:45:00Z
2025,2025-05-06,Commerce_01,POS_A,6959.00,342.00,104.76,6617.00,195,2026-01-09T08:45:00Z
2025,2025-05-07,Commerce_01,POS_A,7488.00,377.38,72.32,7110.62,209,2026-01-09T08:45:00Z
2025,2025-05-08,Commerce_01,POS_A,8522.00,400.64,47.67,8121.36,239,2026-01-09T08:45:00Z
2025,2025-05-09,Commerce_01,POS_A,10005.00,474.88,67.22,9530.12,280,2026-01-09T08:45:00Z
2025,2025-05-10,Commerce_01,POS_A,10594.00,532.57,62.31,10061.43,296,2026-01-09T08:45:00Z
2025,2025-05-11,Commerce_01,POS_A,5966.00,289.08,62.62,5676.92,167,2026-01-09T08:45:00Z
2025,2025-05-12,Commerce_01,POS_A,6417.00,326.77,55.93,6090.23,179,2026-01-09T08:45:00Z
2025,2025-05-13,Commerce_01,POS_A,6917.00,345.58,39.16,6571.42,193,2026-01-09T08:45:00Z
2025,2025-05-14,Commerce_01,POS_A,7541.00,384.98,85.96,7156.02,210,2026-01-09T08:45:00Z
2025,2025-05-15,Commerce_01,POS_A,8256.00,423.67,75.59,7832.33,230,2026-01-09T08:45:00Z
2025,2025-05-16,Commerce_01,POS_A,10111.00,519.65,53.35,9591.35,282,2026-01-09T08:45:00Z
2025,2025-05-17,Commerce_01,POS_A,10312.00,507.92,76.29,9804.08,288,2026-01-09T08:45:00Z
2025,2025-05-18,Commerce_01,POS_A,5779.00,290.54,62.60,5488.46,161,2026-01-09T08:45:00Z
2025,2025-05-19,Commerce_01,POS_A,5023.00,263.78,33.05,4759.22,140,2026-01-09T08:45:00Z
2025,2025-05-20,Commerce_01,POS_A,4843.00,240.45,38.04,4602.55,135,2026-01-09T08:45:00Z
2025,2025-05-21,Commerce_01,POS_A,5670.00,285.90,51.73,5384.10,158,2026-01-09T08:45:00Z
2025,2025-05-22,Commerce_01,POS_A,5941.00,288.13,89.71,5652.87,166,2026-01-09T08:45:00Z
2025,2025-05-23,Commerce_01,POS_A,7428.00,343.81,48.33,7084.19,208,2026-01-09T08:45:00Z
2025,2025-05-24,Commerce_01,POS_A,8228.00,412.97,84.08,7815.03,230,2026-01-09T08:45:00Z
2025,2025-05-25,Commerce_01,POS_A,4278.00,198.67,95.58,4079.33,120,2026-01-09T08:45:00Z
2025,2025-05-26,Commerce_01,POS_A,4817.00,251.27,46.06,4565.73,134,2026-01-09T08:45:00Z
2025,2025-05-27,Commerce_01,POS_A,4982.00,250.41,55.42,4731.59,139,2026-01-09T08:45:00Z
2025,2025-05-28,Commerce_01,POS_A,5614.00,270.76,71.48,5343.24,157,2026-01-09T08:45:00Z
2025,2025-05-29,Commerce_01,POS_A,6241.00,291.24,61.33,5949.76,175,2026-01-09T08:45:00Z
2025,2025-05-30,Commerce_01,POS_A,7737.00,391.39,89.18,7345.61,216,2026-01-09T08:45:00Z
2025,2025-05-31,Commerce_01,POS_A,7662.00,374.54,53.30,7287.46,214,2026-01-09T08:45:00Z
2025,2025-06-01,Commerce_01,POS_A,4547.00,234.93,73.12,4312.07,127,2026-01-09T08:45:00Z
2025,2025-06-02,Commerce_01,POS_A,5039.00,242.80,73.16,4796.20,141,2026-01-09T08:45:00Z
2025,2025-06-03,Commerce_01,POS_A,5160.00,249.29,98.43,4910.71,144,2026-01-09T08:45:00Z
2025,2025-06-04,Commerce_01,POS_A,5381.00,262.59,42.01,5118.41,151,2026-01-09T08:45:00Z
2025,2025-06-05,Commerce_01,POS_A,6048.00,299.47,59.83,5748.53,169,2026-01-09T08:45:00Z
2025,2025-06-06,Commerce_01,POS_A,7914.00,382.56,88.24,7531.44,222,2026-01-09T08:45:00Z
2025,2025-06-07,Commerce_01,POS_A,8301.00,430.54,58.27,7870.46,231,2026-01-09T08:45:00Z
2025,2025-06-08,Commerce_01,POS_A,4532.00,211.27,32.50,4320.73,127,2026-01-09T08:45:00Z
2025,2025-06-09,Commerce_01,POS_A,5100.00,250.42,47.61,4849.58,143,2026-01-09T08:45:00Z
2025,2025-06-10,Commerce_01,POS_A,5354.00,273.90,82.21,5080.10,149,2026-01-09T08:45:00Z
2025,2025-06-11,Commerce_01,POS_A,6010.00,283.14,36.79,5726.86,168,2026-01-09T08:45:00Z
2025,2025-06-12,Commerce_01,POS_A,6218.00,309.29,53.21,5908.71,174,2026-01-09T08:45:00Z
2025,2025-06-13,Commerce_01,POS_A,7232.00,357.99,64.83,6874.01,202,2026-01-09T08:45:00Z
2025,2025-06-14,Commerce_01,POS_A,7578.00,385.91,22.13,7192.09,212,2026-01-09T08:45:00Z
2025,2025-06-15,Commerce_01,POS_A,4385.00,229.96,49.16,4155.04,122,2026-01-09T08:45:00Z
2025,2025-06-16,Commerce_01,POS_A,5058.00,249.61,52.28,4808.39,141,2026-01-09T08:45:00Z
2025,2025-06-17,Commerce_01,POS_A,5197.00,271.38,72.41,4925.62,145,2026-01-09T08:45:00Z
2025,2025-06-18,Commerce_01,POS_A,5622.00,277.00,55.04,5345.00,157,2026-01-09T08:45:00Z
2025,2025-06-19,Commerce_01,POS_A,6054.00,294.37,41.91,5759.63,169,2026-01-09T08:45:00Z
2025,2025-06-20,Commerce_01,POS_A,7800.00,399.37,71.32,7400.63,218,2026-01-09T08:45:00Z
2025,2025-06-21,Commerce_01,POS_A,7892.00,412.88,41.85,7479.12,220,2026-01-09T08:45:00Z
2025,2025-06-22,Commerce_01,POS_A,4421.00,197.95,52.84,4223.05,124,2026-01-09T08:45:00Z
2025,2025-06-23,Commerce_01,POS_A,5229.00,271.41,41.69,4957.59,146,2026-01-09T08:45:00Z
2025,2025-06-24,Commerce_01,POS_A,5408.00,253.09,61.43,5154.91,152,2026-01-09T08:45:00Z
2025,2025-06-25,Commerce_01,POS_A,5660.00,303.03,87.54,5356.97,158,2026-01-09T08:45:00Z
2025,2025-06-26,Commerce_01,POS_A,6529.00,328.56,92.49,6200.44,182,2026-01-09T08:45:00Z
2025,2025-06-27,Commerce_01,POS_A,7447.00,365.33,71.71,7081.67,208,2026-01-09T08:45:00Z
2025,2025-06-28,Commerce_01,POS_A,8282.00,404.72,32.98,7877.28,232,2026-01-09T08:45:00Z
2025,2025-06-29,Commerce_01,POS_A,4273.00,213.22,87.98,4059.78,119,2026-01-09T08:45:00Z
2025,2025-06-30,Commerce_01,POS_A,5017.00,251.65,64.89,4765.35,140,2026-01-09T08:45:00Z
2025,2025-07-01,Commerce_01,POS_B,5353.00,275.30,38.66,5077.70,149,2026-01-09T08:45:00Z
2025,2025-07-02,Commerce_01,POS_B,5799.00,305.32,52.69,5493.68,162,2026-01-09T08:45:00Z
2025,2025-07-03,Commerce_01,POS_B,6178.00,326.38,82.25,5851.62,172,2026-01-09T08:45:00Z
2025,2025-07-04,Commerce_01,POS_B,8082.00,413.22,73.81,7668.78,226,2026-01-09T08:45:00Z
2025,2025-07-05,Commerce_01,POS_B,8386.00,420.75,79.44,7965.25,234,2026-01-09T08:45:00Z
2025,2025-07-06,Commerce_01,POS_B,4722.00,250.33,21.21,4471.67,132,2026-01-09T08:45:00Z
2025,2025-07-07,Commerce_01,POS_B,5052.00,255.88,71.42,4796.12,141,2026-01-09T08:45:00Z
2025,2025-07-08,Commerce_01,POS_B,5514.00,260.23,44.16,5253.77,155,2026-01-09T08:45:00Z
2025,2025-07-09,Commerce_01,POS_B,5549.00,283.56,79.60,5265.44,155,2026-01-09T08:45:00Z
2025,2025-07-10,Commerce_01,POS_B,6396.00,298.69,90.38,6097.31,179,2026-01-09T08:45:00Z
2025,2025-07-11,Commerce_01,POS_B,7688.00,397.99,82.82,7290.01,214,2026-01-09T08:45:00Z
2025,2025-07-12,Commerce_01,POS_B,7735.00,390.74,32.14,7344.26,216,2026-01-09T08:45:00Z
2025,2025-07-13,Commerce_01,POS_B,4261.00,228.80,26.77,4032.20,119,2026-01-09T08:45:00Z
2025,2025-07-14,Commerce_01,POS_B,4840.00,246.29,68.60,4593.71,135,2026-01-09T08:45:00Z
2025,2025-07-15,Commerce_01,POS_B,5445.00,288.50,81.73,5156.50,152,2026-01-09T08:45:00Z
2025,2025-07-16,Commerce_01,POS_B,6094.00,314.43,78.87,5779.57,170,2026-01-09T08:45:00Z
2025,2025-07-17,Commerce_01,POS_B,6289.00,307.87,77.99,5981.13,176,2026-01-09T08:45:00Z
2025,2025-07-18,Commerce_01,POS_B,7568.00,382.95,33.85,7185.05,211,2026-01-09T08:45:00Z
2025,2025-07-19,Commerce_01,POS_B,7972.00,397.65,70.29,7574.35,223,2026-01-09T08:45:00Z
2025,2025-07-20,Commerce_01,POS_B,4273.00,218.43,80.33,4054.57,119,2026-01-09T08:45:00Z
2025,2025-07-21,Commerce_01,POS_B,4950.00,256.76,60.96,4693.24,138,2026-01-09T08:45:00Z
2025,2025-07-22,Commerce_01,POS_B,5178.00,241.63,37.25,4936.37,145,2026-01-09T08:45:00Z
2025,2025-07-23,Commerce_01,POS_B,5847.00,301.16,55.51,5545.84,163,2026-01-09T08:45:00Z
2025,2025-07-24,Commerce_01,POS_B,6471.00,328.04,28.82,6142.96,181,2026-01-09T08:45:00Z
2025,2025-07-25,Commerce_01,POS_B,7570.00,369.91,54.28,7200.09,212,2026-01-09T08:45:00Z
2025,2025-07-26,Commerce_01,POS_B,7758.00,391.29,94.42,7366.71,217,2026-01-09T08:45:00Z
2025,2025-07-27,Commerce_01,POS_B,4340.00,210.61,43.04,4129.39,121,2026-01-09T08:45:00Z
2025,2025-07-28,Commerce_01,POS_B,4748.00,248.17,43.95,4499.83,132,2026-01-09T08:45:00Z
2025,2025-07-29,Commerce_01,POS_B,5068.00,237.88,52.35,4830.12,142,2026-01-09T08:45:00Z
2025,2025-07-30,Commerce_01,POS_B,5572.00,267.47,40.38,5304.53,156,2026-01-09T08:45:00Z
2025,2025-07-31,Commerce_01,POS_B,6193.00,291.13,46.07,5901.87,174,2026-01-09T08:45:00Z
2025,2025-08-01,Commerce_01,POS_B,7813.00,381.57,39.02,7431.43,219,2026-01-09T08:45:00Z
2025,2025-08-02,Commerce_01,POS_B,7663.00,378.77,60.97,7284.23,214,2026-01-09T08:45:00Z
2025,2025-08-03,Commerce_01,POS_B,4516.00,231.66,54.29,4284.34,126,2026-01-09T08:45:00Z
2025,2025-08-04,Commerce_01,POS_B,5215.00,246.26,71.12,4968.74,146,2026-01-09T08:45:00Z
2025,2025-08-05,Commerce_01,POS_B,5140.00,257.88,62.42,4882.12,144,2026-01-09T08:45:00Z
2025,2025-08-06,Commerce_01,POS_B,5736.00,279.07,94.15,5456.93,160,2026-01-09T08:45:00Z
2025,2025-08-07,Commerce_01,POS_B,6342.00,319.01,92.00,6022.99,177,2026-01-09T08:45:00Z
2025,2025-08-08,Commerce_01,POS_B,8112.00,394.98,81.47,7717.02,227,2026-01-09T08:45:00Z
2025,2025-08-09,Commerce_01,POS_B,8185.00,395.50,78.18,7789.50,229,2026-01-09T08:45:00Z
2025,2025-08-10,Commerce_01,POS_B,4627.00,249.29,57.31,4377.71,129,2026-01-09T08:45:00Z
2025,2025-08-11,Commerce_01,POS_B,5092.00,265.95,62.27,4826.05,142,2026-01-09T08:45:00Z
2025,2025-08-12,Commerce_01,POS_B,5174.00,254.86,34.07,4919.14,145,2026-01-09T08:45:00Z
2025,2025-08-13,Commerce_01,POS_B,5617.00,260.84,82.03,5356.16,158,2026-01-09T08:45:00Z
2025,2025-08-14,Commerce_01,POS_B,6126.00,308.04,50.87,5817.96,171,2026-01-09T08:45:00Z
2025,2025-08-15,Commerce_01,POS_B,7800.00,407.63,87.77,7392.37,217,2026-01-09T08:45:00Z
2025,2025-08-16,Commerce_01,POS_B,7718.00,402.06,85.67,7315.94,215,2026-01-09T08:45:00Z
2025,2025-08-17,Commerce_01,POS_B,4587.00,249.52,50.29,4337.48,128,2026-01-09T08:45:00Z
2025,2025-08-18,Commerce_01,POS_B,4857.00,246.38,60.62,4610.62,136,2026-01-09T08:45:00Z
2025,2025-08-19,Commerce_01,POS_B,5185.00,236.61,58.84,4948.39,146,2026-01-09T08:45:00Z
2025,2025-08-20,Commerce_01,POS_B,5829.00,307.89,28.98,5521.11,162,2026-01-09T08:45:00Z
2025,2025-08-21,Commerce_01,POS_B,6661.00,341.55,45.57,6319.45,186,2026-01-09T08:45:00Z
2025,2025-08-22,Commerce_01,POS_B,7607.00,389.32,49.96,7217.68,212,2026-01-09T08:45:00Z
2025,2025-08-23,Commerce_01,POS_B,8190.00,405.47,14.17,7784.53,229,2026-01-09T08:45:00Z
2025,2025-08-24,Commerce_01,POS_B,4210.00,197.74,35.72,4012.26,118,2026-01-09T08:45:00Z
2025,2025-08-25,Commerce_01,POS_B,5132.00,248.35,45.89,4883.65,144,2026-01-09T08:45:00Z
2025,2025-08-26,Commerce_01,POS_B,5485.00,276.06,39.99,5208.94,153,2026-01-09T08:45:00Z
2025,2025-08-27,Commerce_01,POS_B,5517.00,269.21,82.30,5247.79,154,2026-01-09T08:45:00Z
2025,2025-08-28,Commerce_01,POS_B,6166.00,314.62,64.98,5851.38,172,2026-01-09T08:45:00Z
2025,2025-08-29,Commerce_01,POS_B,7432.00,394.38,88.93,7037.62,207,2026-01-09T08:45:00Z
2025,2025-08-30,Commerce_01,POS_B,8026.00,401.02,77.31,7624.98,224,2026-01-09T08:45:00Z
2025,2025-08-31,Commerce_01,POS_B,4578.00,233.05,74.83,4344.95,128,2026-01-09T08:45:00Z
2025,2025-09-01,Commerce_01,POS_B,4729.00,244.80,63.04,4484.20,132,2026-01-09T08:45:00Z
